UID,SITE,FID_fishnet_lap_201807_site04,TotalFishnetArea_1,Area_ha_drone,Area_ha_CONABIO,Area_ha_GMW,Area_ha_dCONABIO,Area_ha_dGMW,Area_ha_union_dCONABIO,Area_ha_union_dGMW
197,psc_201805_site_09,5.000,1.000,0.891,0.736,0.972,0.726,0.890,0.900764,0.97233211
198,psc_201805_site_09,6.000,1.000,0.007,0.000,0.059,0.000,0.004,0.006979752,0.062552089
199,psc_201805_site_09,7.000,1.000,0.103,0.134,0.284,0.050,0.083,0.187288675,0.303727286
200,psc_201805_site_09,8.000,1.000,0.902,0.832,0.970,0.806,0.889,0.927687086,0.983003235
201,psc_201805_site_09,9.000,1.000,0.000,0.000,0.122,0.000,0.000,7.92823E-05,0.122139759
202,psc_201805_site_09,10.000,1.000,0.198,0.316,0.367,0.173,0.173,0.341211578,0.392555761
203,psc_201805_site_09,11.000,1.000,0.916,0.876,1.000,0.851,0.916,0.941302445,1
204,psc_201805_site_09,12.000,1.000,0.013,0.000,0.175,0.000,0.013,0.013235819,0.174995143
205,psc_201805_site_09,13.000,1.000,0.074,0.097,0.108,0.070,0.070,0.101759424,0.112642698
206,psc_201805_site_09,14.000,1.000,0.878,0.755,0.960,0.751,0.877,0.881520196,0.960610015
207,psc_201805_site_09,15.000,1.000,0.005,0.000,0.095,0.000,0.005,0.004889167,0.095384297
208,psc_201805_site_09,17.000,1.000,0.248,0.074,0.709,0.070,0.243,0.251016229,0.714015068
209,psc_201805_site_09,18.000,1.000,0.007,0.000,0.013,0.000,0.001,0.007265214,0.018941707
210,psc_201805_site_09,20.000,1.000,0.017,0.000,0.004,0.000,0.000,0.017403269,0.021524489
211,psc_201805_site_09,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000152864,0.000152864
212,psc_201807_site08,8.000,0.049,0.049,0.049,0.049,0.049,0.049,0.048780126,0.048780126
213,psc_201807_site08,9.000,0.208,0.208,0.208,0.208,0.208,0.208,0.208215855,0.208215855
214,psc_201807_site08,10.000,0.370,0.216,0.370,0.370,0.216,0.216,0.370441702,0.370441702
215,psc_201807_site08,11.000,0.549,0.438,0.549,0.549,0.438,0.438,0.548806292,0.548806292
216,psc_201807_site08,12.000,0.723,0.637,0.723,0.723,0.637,0.637,0.722684826,0.722684826
217,psc_201807_site08,13.000,0.903,0.633,0.662,0.892,0.555,0.555,0.739985378,0.892191661
218,psc_201807_site08,19.000,0.593,0.034,0.083,0.495,0.019,0.019,0.097729721,0.494977961
219,psc_201807_site08,20.000,0.723,0.171,0.396,0.723,0.129,0.129,0.43808734,0.722798412
220,psc_201807_site08,21.000,0.888,0.668,0.881,0.888,0.665,0.665,0.883669953,0.887660347
221,psc_201807_site08,22.000,0.996,0.948,0.996,0.996,0.948,0.948,0.995909047,0.995909047
222,psc_201807_site08,23.000,1.000,0.893,1.000,1.000,0.893,0.893,1,1
223,psc_201807_site08,24.000,1.000,0.679,1.000,1.000,0.679,0.679,1.000000198,1.000000198
224,psc_201807_site08,25.000,1.000,0.810,1.000,1.000,0.810,0.810,1,1
225,psc_201807_site08,26.000,1.000,0.920,0.998,1.000,0.918,0.918,1,1
226,psc_201807_site08,27.000,1.000,0.362,0.242,0.546,0.242,0.242,0.362325814,0.549022797
227,psc_201807_site08,32.000,0.994,0.006,0.004,0.453,0.002,0.002,0.007554571,0.453115599
228,psc_201807_site08,33.000,1.000,0.632,0.684,0.981,0.609,0.609,0.708009193,0.981076768
229,psc_201807_site08,34.000,1.000,0.776,0.952,1.000,0.766,0.766,0.962134726,1
230,psc_201807_site08,35.000,1.000,0.950,1.000,1.000,0.950,0.950,1,1
231,psc_201807_site08,36.000,1.000,0.953,1.000,1.000,0.953,0.953,1,1
232,psc_201807_site08,37.000,1.000,0.891,0.968,1.000,0.885,0.885,0.975060722,1
233,psc_201807_site08,38.000,1.000,0.660,0.802,1.000,0.648,0.648,0.813925105,1
234,psc_201807_site08,39.000,1.000,0.789,0.988,1.000,0.789,0.789,0.987842902,1
235,psc_201807_site08,40.000,1.000,0.575,0.707,0.913,0.508,0.508,0.774061757,0.913075591
236,psc_201807_site08,45.000,0.807,0.108,0.150,0.548,0.098,0.098,0.159779242,0.547776858
237,psc_201807_site08,46.000,1.000,0.762,0.930,0.999,0.750,0.750,0.9424038,0.999444987
238,psc_201807_site08,47.000,1.000,0.589,0.680,0.888,0.522,0.522,0.746456056,0.896313224
239,psc_201807_site08,48.000,1.000,0.282,0.260,0.784,0.212,0.212,0.329496669,0.783977017
240,psc_201807_site08,49.000,1.000,0.904,0.991,1.000,0.903,0.903,0.992026627,1
241,psc_201807_site08,50.000,1.000,0.944,1.000,1.000,0.944,0.944,1,1
242,psc_201807_site08,51.000,1.000,0.752,0.785,1.000,0.731,0.731,0.805419948,1
243,psc_201807_site08,52.000,1.000,0.942,0.998,1.000,0.942,0.942,0.997965196,1
244,psc_201807_site08,53.000,1.000,1.000,0.996,1.000,0.996,0.996,1,1
245,psc_201807_site08,54.000,1.000,0.383,0.259,0.394,0.259,0.259,0.383476968,0.420184751
246,psc_201807_site08,58.000,0.393,0.032,0.022,0.202,0.022,0.022,0.031826486,0.202062619
247,psc_201807_site08,59.000,0.998,0.683,0.824,0.998,0.669,0.669,0.838267412,0.998225295
248,psc_201807_site08,60.000,1.000,0.637,1.000,1.000,0.637,0.637,1,1
249,psc_201807_site08,61.000,1.000,0.483,0.543,0.772,0.425,0.425,0.600624829,0.772294902
250,psc_201807_site08,62.000,1.000,0.468,0.594,0.989,0.410,0.410,0.651814181,0.990786356
251,psc_201807_site08,63.000,1.000,0.741,0.915,1.000,0.741,0.741,0.915662894,1
252,psc_201807_site08,64.000,1.000,0.850,1.000,1.000,0.850,0.850,1,1
253,psc_201807_site08,65.000,1.000,0.690,0.692,1.000,0.648,0.648,0.733557514,1
254,psc_201807_site08,66.000,1.000,0.565,0.915,1.000,0.546,0.546,0.933448341,1
255,psc_201807_site08,67.000,1.000,0.758,0.735,0.900,0.657,0.657,0.835721266,0.90158251
256,psc_201807_site08,72.000,0.890,0.240,0.372,0.739,0.225,0.225,0.386991092,0.738686151
257,psc_201807_site08,73.000,1.000,0.879,1.000,1.000,0.879,0.879,1,1
258,psc_201807_site08,74.000,1.000,0.648,1.000,1.000,0.648,0.648,1.000001188,1.000001188
259,psc_201807_site08,75.000,1.000,0.338,0.243,0.770,0.216,0.216,0.364542665,0.778174254
260,psc_201807_site08,76.000,1.000,0.727,0.722,1.000,0.685,0.685,0.76403803,1
261,psc_201807_site08,77.000,1.000,0.993,1.000,1.000,0.993,0.993,1,1
262,psc_201807_site08,78.000,1.000,0.741,0.982,1.000,0.740,0.740,0.98259629,1
263,psc_201807_site08,79.000,1.000,0.529,0.600,0.945,0.443,0.443,0.685533433,0.94696467
264,psc_201807_site08,80.000,1.000,0.296,0.311,0.448,0.216,0.216,0.390987064,0.481836943
265,psc_201807_site08,81.000,0.992,0.167,0.137,0.422,0.127,0.127,0.177145797,0.425127822
266,psc_201807_site08,82.000,0.169,0.000,0.002,0.110,0.000,0.000,0.001917228,0.109619068
267,psc_201807_site08,85.000,0.829,0.005,0.051,0.336,0.005,0.005,0.051331315,0.335574855
268,psc_201807_site08,86.000,1.000,0.232,0.335,0.805,0.209,0.209,0.357916459,0.805465648
269,psc_201807_site08,87.000,1.000,0.961,1.000,1.000,0.961,0.961,1,1
270,psc_201807_site08,88.000,1.000,0.703,1.000,1.000,0.703,0.703,0.999998812,0.999998812
271,psc_201807_site08,89.000,1.000,0.783,0.898,1.000,0.753,0.753,0.927832988,1
272,psc_201807_site08,90.000,1.000,0.625,0.507,1.000,0.423,0.423,0.708455558,1
273,psc_201807_site08,91.000,0.999,0.644,0.485,0.999,0.485,0.485,0.644430704,0.999374578
274,psc_201807_site08,92.000,0.886,0.813,0.728,0.873,0.728,0.728,0.813477744,0.873777341
275,psc_201807_site08,93.000,0.717,0.610,0.538,0.618,0.512,0.512,0.635440926,0.659363969
276,psc_201807_site08,95.000,0.267,0.066,0.069,0.215,0.053,0.053,0.08207435,0.215432958
277,psc_201807_site08,99.000,0.715,0.019,0.089,0.208,0.011,0.011,0.09656196,0.207565988
278,psc_201807_site08,100.000,1.000,0.830,0.913,1.000,0.829,0.829,0.914397791,1.00000087
279,psc_201807_site08,101.000,0.996,0.948,0.996,0.996,0.948,0.948,0.996173318,0.996173318
280,psc_201807_site08,102.000,0.870,0.863,0.870,0.870,0.863,0.863,0.869575284,0.869575284
281,psc_201807_site08,103.000,0.716,0.406,0.716,0.716,0.406,0.406,0.716064227,0.716064227
282,psc_201807_site08,104.000,0.519,0.410,0.519,0.519,0.410,0.410,0.51881683,0.51881683
283,psc_201807_site08,105.000,0.119,0.106,0.103,0.119,0.103,0.103,0.105650215,0.118905778
284,psc_201807_site08,114.000,0.216,0.150,0.171,0.216,0.149,0.149,0.171510116,0.216208289
285,psc_201807_site08,115.000,0.055,0.045,0.055,0.055,0.045,0.045,0.054694166,0.054694166
286,psc_201807_site08,14.000,0.096,0.000,0.000,0.054,0.000,0.000,0.000498786,0.05368023
287,psc_201807_site08,18.000,0.326,0.000,0.000,0.094,0.000,0.000,0,0.093836446
288,psc_201807_site08,31.000,0.265,0.000,0.000,0.000,0.000,0.000,0,6.97188E-05
289,psc_201807_site08,41.000,0.846,0.008,0.000,0.076,0.000,0.000,0.007871408,0.075821629
290,psc_201807_site08,68.000,0.768,0.008,0.000,0.084,0.000,0.000,0.008448256,0.086160593
291,psc_201807_site08,71.000,0.057,0.000,0.000,0.010,0.000,0.000,0,0.010272126
292,psc_201807_site08,94.000,0.548,0.017,0.000,0.006,0.000,0.000,0.016908384,0.022479497
293,psc_201807_site08,113.000,0.135,0.000,0.000,0.064,0.000,0.000,0,0.063961032
294,psc_201807_site10,1.000,0.084,0.048,0.047,0.078,0.042,0.048,0.053628664,0.078
295,psc_201807_site10,2.000,0.616,0.267,0.261,0.376,0.232,0.264,0.29570895,0.379
296,psc_201807_site10,3.000,0.795,0.136,0.205,0.311,0.134,0.136,0.207653321,0.311
297,psc_201807_site10,4.000,0.397,0.339,0.397,0.397,0.339,0.339,0.397330857,0.397
298,psc_201807_site10,5.000,0.195,0.143,0.154,0.195,0.138,0.143,0.159364525,0.195
299,psc_201807_site10,7.000,0.640,0.040,0.041,0.111,0.024,0.038,0.057102477,0.114
300,psc_201807_site10,8.000,1.000,0.429,0.685,0.986,0.412,0.429,0.701527535,0.986
301,psc_201807_site10,9.000,1.000,0.673,0.942,0.995,0.670,0.673,0.944260045,0.995
302,psc_201807_site10,10.000,1.000,0.598,0.647,0.877,0.537,0.596,0.707259769,0.879
303,psc_201807_site10,11.000,0.908,0.252,0.066,0.616,0.065,0.251,0.252485491,0.617
304,psc_201807_site10,13.000,0.921,0.016,0.072,0.078,0.012,0.012,0.076541655,0.083
305,psc_201807_site10,14.000,1.000,0.624,1.000,1.000,0.624,0.624,1.000000109,1.000
306,psc_201807_site10,15.000,1.000,0.663,0.815,1.000,0.591,0.663,0.887409358,1.000
307,psc_201807_site10,16.000,1.000,1.000,0.029,0.324,0.023,0.088,0.106553333,0.336
308,psc_201807_site10,19.000,0.867,0.051,0.072,0.087,0.041,0.044,0.081730709,0.094
309,psc_201807_site10,20.000,1.000,0.833,0.977,1.000,0.819,0.833,0.990928868,1.000
310,psc_201807_site10,21.000,1.000,0.561,0.757,0.976,0.496,0.559,0.822682059,0.978
311,psc_201807_site10,26.000,1.000,0.807,0.610,0.962,0.543,0.802,0.873887403,0.966
312,psc_201807_site10,27.000,1.000,0.427,0.325,0.696,0.286,0.403,0.465144865,0.720
313,psc_201807_site10,32.000,0.323,0.197,0.245,0.299,0.160,0.196,0.281818923,0.301
314,psc_201807_site10,33.000,0.537,0.043,0.000,0.357,0.000,0.040,0.043495418,0.360
315,psc_201807_site10,12.000,0.007,0.002,0.000,0.007,0.000,0.002,0.001827681,0.007
316,psc_201807_site10,22.000,0.990,0.027,0.000,0.094,0.000,0.023,0.027033231,0.098
317,psc_201807_site10,25.000,0.737,0.021,0.000,0.010,0.000,0.004,0.020673772,0.026
318,psc_201807_site10,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000
319,psc_201807_site10,31.000,0.022,0.001,0.000,0.000,0.000,0.000,0.000544066,0.001
320,psc_201807_site11,8.000,0.442,0.068,0.009,0.009,0.009,0.009,0.068461395,0.068461395
321,psc_201807_site11,9.000,0.304,0.167,0.008,0.056,0.008,0.045,0.166586421,0.17767676
322,psc_201807_site11,10.000,0.111,0.111,0.000,0.053,0.000,0.053,0.110738409,0.110738439
323,psc_201807_site11,16.000,0.978,0.059,0.270,0.491,0.059,0.059,0.269923383,0.491022816
324,psc_201807_site11,17.000,1.000,0.513,0.417,0.592,0.255,0.398,0.675310397,0.707703131
325,psc_201807_site11,19.000,1.000,0.080,0.132,0.356,0.020,0.079,0.191930135,0.356278874
326,psc_201807_site11,20.000,1.000,0.278,0.494,0.849,0.234,0.278,0.539063463,0.8485052
327,psc_201807_site11,21.000,0.979,0.280,0.128,0.287,0.090,0.126,0.317395874,0.441101582
328,psc_201807_site11,26.000,0.538,0.000,0.017,0.157,0.000,0.000,0.016730691,0.156791418
329,psc_201807_site11,27.000,1.000,0.611,0.819,0.963,0.611,0.611,0.819440087,0.963455191
330,psc_201807_site11,28.000,1.000,0.753,0.728,0.955,0.702,0.752,0.778125174,0.955533417
331,psc_201807_site11,29.000,1.000,0.190,0.345,0.784,0.105,0.190,0.429813481,0.784226892
332,psc_201807_site11,30.000,1.000,0.613,0.676,0.889,0.435,0.518,0.853485533,0.983719921
333,psc_201807_site11,31.000,1.000,0.832,1.000,1.000,0.832,0.832,1,1
334,psc_201807_site11,32.000,0.998,0.446,0.899,0.962,0.446,0.446,0.899259092,0.961935039
335,psc_201807_site11,33.000,0.386,0.094,0.230,0.331,0.094,0.094,0.229732548,0.330985694
336,psc_201807_site11,36.000,0.379,0.000,0.019,0.089,0.000,0.000,0.019194136,0.088529383
337,psc_201807_site11,37.000,0.999,0.391,0.617,0.915,0.388,0.391,0.621059306,0.915406281
338,psc_201807_site11,38.000,1.000,0.995,0.920,1.000,0.916,0.995,0.999557499,1
339,psc_201807_site11,39.000,1.000,0.981,0.927,0.986,0.909,0.968,1,1
340,psc_201807_site11,40.000,1.000,0.445,0.166,0.396,0.134,0.298,0.477325011,0.542916943
341,psc_201807_site11,41.000,1.000,0.345,0.418,0.731,0.299,0.333,0.464826996,0.743655584
342,psc_201807_site11,42.000,1.000,1.000,1.000,1.000,1.000,1.000,1,1
343,psc_201807_site11,43.000,0.532,0.530,0.532,0.532,0.530,0.530,0.532003161,0.532003161
344,psc_201807_site11,47.000,0.976,0.358,0.538,0.815,0.357,0.358,0.538429885,0.815476143
345,psc_201807_site11,48.000,1.000,0.941,0.620,0.867,0.617,0.860,0.944241447,0.948226686
346,psc_201807_site11,49.000,1.000,0.386,0.438,0.716,0.265,0.330,0.559253055,0.771971161
347,psc_201807_site11,50.000,1.000,0.435,0.126,0.924,0.116,0.432,0.445316394,0.926959651
348,psc_201807_site11,52.000,1.000,0.446,0.548,0.675,0.438,0.446,0.556159435,0.675205621
349,psc_201807_site11,53.000,0.678,0.671,0.678,0.678,0.671,0.671,0.678142517,0.678142517
350,psc_201807_site11,54.000,0.007,0.007,0.007,0.007,0.007,0.007,0.007013725,0.007013725
351,psc_201807_site11,58.000,1.000,0.457,0.239,0.701,0.193,0.445,0.501869975,0.712156103
352,psc_201807_site11,59.000,1.000,0.107,0.002,0.390,0.002,0.022,0.106944826,0.475032737
353,psc_201807_site11,60.000,1.000,0.466,0.611,0.920,0.407,0.466,0.670763122,0.920452915
354,psc_201807_site11,61.000,1.000,0.050,0.168,0.862,0.000,0.050,0.21815117,0.862461584
355,psc_201807_site11,62.000,1.000,0.089,0.437,0.479,0.089,0.089,0.437399344,0.478573261
356,psc_201807_site11,63.000,0.816,0.209,0.477,0.657,0.188,0.209,0.497641512,0.65717842
357,psc_201807_site11,64.000,0.049,0.040,0.049,0.049,0.040,0.040,0.049235748,0.049235748
358,psc_201807_site11,68.000,0.979,0.036,0.226,0.525,0.036,0.036,0.226296892,0.525432206
359,psc_201807_site11,69.000,1.000,0.551,0.799,0.981,0.551,0.551,0.799218655,0.980931668
360,psc_201807_site11,70.000,1.000,0.574,0.752,1.000,0.570,0.574,0.755823274,1
361,psc_201807_site11,71.000,1.000,0.891,0.997,1.000,0.891,0.891,0.99651142,1
362,psc_201807_site11,72.000,1.000,0.769,0.822,0.925,0.604,0.703,0.987319474,0.99121263
363,psc_201807_site11,73.000,0.923,0.690,0.493,0.523,0.456,0.486,0.726562185,0.726562185
364,psc_201807_site11,74.000,0.132,0.060,0.109,0.109,0.060,0.060,0.109168215,0.109168215
365,psc_201807_site11,78.000,0.758,0.024,0.075,0.101,0.003,0.003,0.095577664,0.121866525
366,psc_201807_site11,79.000,1.000,0.382,0.448,0.450,0.331,0.331,0.498401125,0.501129747
367,psc_201807_site11,80.000,1.000,0.463,0.564,0.564,0.410,0.410,0.617221843,0.617221843
368,psc_201807_site11,81.000,1.000,0.541,0.411,0.411,0.407,0.407,0.545816439,0.545816439
369,psc_201807_site11,82.000,1.000,0.298,0.315,0.315,0.268,0.268,0.345281736,0.345281736
370,psc_201807_site11,83.000,0.897,0.271,0.057,0.057,0.038,0.038,0.290118027,0.290118027
371,psc_201807_site11,6.000,0.829,0.000,0.009,0.263,0.000,0.000,0.009080908,0.263093578
372,psc_201807_site11,5.000,0.320,0.000,0.000,0.033,0.000,0.000,0,0.033341212
373,psc_201807_site11,22.000,0.376,0.000,0.000,0.001,0.000,0.000,0,0.001010149
374,psc_201807_site11,51.000,1.000,0.002,0.000,0.018,0.000,0.000,0.002430279,0.019963019
375,psc_201807_site11,67.000,0.500,0.000,0.000,0.014,0.000,0.000,0,0.013509413
376,psc_201805_site0304,1,0.046321156,0.011707882,0.024307665,0.034841544,0.011707882,0.011707882,0.024307665,0.034841544
377,psc_201805_site0304,2,0.74381654,0.118831677,0.232376359,0.232376359,0.118831456,0.118831456,0.232376359,0.232376359
378,psc_201805_site0304,3,0.885009604,0.022825429,0.145441564,0.188978939,0.022810802,0.022810802,0.145456191,0.188993566
379,psc_201805_site0304,4,0.880509631,0.000917775,0.015372522,0.241846068,0.000917775,0.000917775,0.015372522,0.241846068
380,psc_201805_site0304,5,0.965128913,0.245083139,0.230092698,0.473516573,0.197245516,0.237048003,0.277931841,0.481545628
381,psc_201805_site0304,8,0.031031235,0.009560207,0.009936695,0.015934825,0.009512317,0.009560207,0.009983254,0.015934825
382,psc_201805_site0304,9,0.985340054,0.191389781,0.291715206,0.359991196,0.174611929,0.183022484,0.308489343,0.36835463
383,psc_201805_site0304,10,1,0.940337917,0.999000413,1,0.940337917,0.940337917,0.999000413,1
384,psc_201805_site0304,11,1,0.869084169,0.968461703,0.999483971,0.869084169,0.869084169,0.968461703,0.999483971
